Site Name,Hostname,IP
,DLC-Finchley-MainComms-2,10.32.2.249
,DLC-Finchley-Gym,10.32.2.251
,DLC-Finchley-Spa,10.32.2.252
,,
Fulham,DLC-Fulham,10.32.58.253
,DLC-Fulham-Spa,10.32.58.252
,DLC-Fulham-Lynxight,10.32.58.251
,,
Geneva City Green,DLC-Geneva-Bottom,10.32.228.253
,DLC-Geneva-Top,10.32.228.249
,DLC-Geneva-CityGreen-Lynxight,10.32.228.252
,,
Gidea Park,DLL-GideaPark-MainComms,10.32.84.253
,DLC-GideaPark-MainComms-2,10.36.84.252
,DLC-GideaPark-Lynxight,10.32.84.251
,,
Glasgow West End,DLC-Glasgow-WE-Main-1,192.168.3.253
,DLC-Glasgow-WE-Membership,10.32.75.252
,DLC-Glasgow-WE-Sales,192.168.3.251
,DLC-Glasgow-WE-Main-2,192.168.3.250
,DLC-GlasgowWE-Spa,192.168.3.248
,,
Glasgow Rouken Glen,Rouken-48P,10.32.207.253
,DLL-RoukenGlen-NEW,10.32.207.250
,DLL-Rouken-Golf,10.32.207.251
,DLL-Rouken,10.32.207.252
,DLC-RoukenGlen-Lynxight,10.32.207.249
,,
Glasgow Renfrew,DLL-Renfrew,10.32.5.253
,DLC-Renfrew-Lynxight,10.32.5.252
,,
Gloucestershire,DLC-Gloucester-Main-Commms-1,10.32.212.253
,DLC-Gloucestershire-Main-2,10.32.212.251
,DLC-Gloucestershire-AV,10.32.212.250
,DLC-Gloucestershire-Spa,10.32.212.249
,DLC-Gloucester-Lynxight,10.32.212.248
,,
Hamilton,DL-Hamilton,10.32.213.253
,DLC-Hamilton-Lnyxight,172.20.213.251
,DLC-Hamilton-MainComms,10.32.213.250
,,
Hampton,DLC-Hampton-1,10.161.1.253
,DLC-Hampton-2,10.161.1.251
,DLC-Hampton-X440-48p-SubRack,10.161.1.250
,DLC-Hampton-Boardroom,10.161.1.249
,DLC-Hampton-2,10.161.1.252
,,
Harrogate,DLL-Harrogate,10.32.226.253
,DLC-Harrogate-Subrack-2,10.32.226.251
,NewComms,10.32.226.252
,DLC-Harrogate-Lnyxight,10.32.226.250
,,
Heston,DLL-Heston-MainComms,10.32.12.253
,DLL-Heston-Gym,10.32.12.252
,DLL-Heston-Campus,10.32.12.251
,DLL-Heston-Membership,10.32.12.249
,DLC-Heston-Lynxight,10.32.12.248
,,
Beaconsfield,DLL-GloryMill-MainComms,10.32.87.253
,DLC-Beaconsfield-MainComms-2,10.32.87.251
,Beaconsfield-Spa,10.32.87.252
,,
Hull,DLC-Hull,10.32.28.253
,DLC-Hull-Lynxight,10.32.28.250
,,
Ipswich,DLC-Ipswich-MainComms,10.32.78.253
,DLC-Ipswich-Lnyxight,172.20.78.252
,DLC-Ipswich-Gym,10.32.78.251
,,
Newbury ,DLL-Newbury-Stack,10.32.203.253
,DLC-Newbury-Gym-SubRack,10.32.203.251
,DLC-Newbury-Lynxight,10.32.203.250
,,
Kensington,DLL-Kensington-MainRack,10.32.31.253
,DLL-Kens-1st,10.32.31.252
,DLL-Kensington-B2,10.32.31.251
,DLC-Kensington-Lynxight,10.32.31.249
,l,
Kidbrooke,DLL-Kidbrooke-MainComms,10.32.44.253
,DLC-Kidbrooke-MainComms-2,10.32.44.251
,DLL-Kidbrooke-Subrack,10.32.44.252
,DLC-Kidbrooke-Lynxight,10.32.44.250
,,
Kingshill,DLC-KingsHill,10.32.66.253
,DLC-KingsHill-Lynxight,10.32.66.252
,,
Kingston,DLC-Kingston,10.32.59.253
,DLC-Kingston-Gym,10.32.59.252
,DLC-Kingston-Lynxight,172.20.59.251
,,
Knowsley,DLL-Knowsley-MainComms,10.32.37.253
,DLC-Knowsley-MainComms-2,10.32.37.251
,DLC-Knowsley-Lynxight,10.32.37.250
,,
Leeds,DLL-Leeds,10.32.19.253
,DLL-Leeds-SubRack,10.32.19.252
,DLL-Leeds-Subrack-X440-48p,10.32.19.251
,DLC-Leeds-MainComms-2,192.168.55.250
,DLC-Leeds-Lynxight,10.32.19.249
,,
Leicester,DLC-Leicester,10.32.25.250
,DLC-Leicester-Lnyxight,172.20.25.252
,DLC-Leicester-Gym,10.32.25.251
,,
Lichfield,DL-Lichfield,10.32.214.253
,DLC-Lichfield-Subrack,10.32.214.252
,DLC-Lichfield-Spa,10.32.214.251
,,
Lincoln ,DLL-Lincoln-MainComms,10.32.61.253
,DLL-Lincoln-MainComms-2,10.32.61.252
,DLC-Lincoln-Lynxight,10.32.61.251
,,
Luton,DLC-Luton,10.32.54.253
,DLC-Luton-Subrack,10.32.54.250
,DLC-Luton-2,10.32.54.249
,,
Aravaca,DLL-Madrid-MainComms,10.32.208.253
,DLL-Madrid,10.32.208.252
,DLL-Mad-BAR,10.32.208.251
,,
Malaspina,DLC-Malaspina-1,10.32.227.253
,DLC-Malaspina-Spa,10.32.227.251
,DLC-Malaspina-2,10.32.227.252
,DLC-Malaspina-AdminOffice,10.32.227.248
,,
Maidenhead,DLC-Maidenhead,10.32.52.253
,DLC-Maidenhead-Lynxight,10.32.52.252
,,
Manchester,DLL-Manchester-MainComms,10.32.48.253
,DLC-Manchester-Spa,10.32.48.250
,DLC-Manchester-MainComms-2,10.32.48.251
,DLC-Manchester-Lynxight,10.32.48.249
,,
North Manchester,DL-Manchester-North,10.32.216.253
,DLC-ManchesterNorth-Lynxight,10.36.216.251
,,
Northwood,DLL-Northwood,10.32.217.253
,DLC-Northwood-MainComms-2,10.32.217.251
,FemaleChange-X435-24P,10.32.217.252
,DLC-Northwood-Gym,10.32.217.249
,DLC-Northwood-Lynxight,10.32.217.248
,,
Milton Keynes,DLC-MiltonKeynes-MainComms1,10.32.20.253
,DLC-MiltonKeynes-Office,10.32.20.252
,DLC-MiltonKeynes-Spa,10.32.20.251
,DLC-MiltonKeynes-Lynxight,10.32.20.250
,,
Narborough,DLC-Narborough,192.168.14.253
,DLC-Narborough-Gym,192.168.14.251
,DLC-Narborough-Lynxight,192.168.14.250
,,
Newcastle,DLC-Newcastle,10.32.8.253
,DLC-Newcastle-Lynxight,10.32.8.252
,DLC-Newcastle-MainComms2,10.32.8.251
,,
Edinburgh Newhaven Harbour,DLC-Newhaven-48,10.32.73.253
,DLC-Newhaven-Lynxight,10.32.73.252
,,
Notting Hill Harbour Club,HC-Nottinghill-Maincomms,192.168.7.253
,HC-NottingHill-Subrack,192.168.7.252
,DLC-Nottinghill-Lynxight,192.168.7.251
,DLC-NottingHill-MainComms-2,10.32.90.249
,,
Nottingham,DLC-Nottingham,10.32.32.253
,DLC-Nottingham-Membership,10.32.32.250
,DLC-Nottingham-Lynxight,10.32.32.251
,DLC-Nottingham-WiFiSwitch,10.32.32.249
,,
Oxford,DLC-Oxford,10.32.63.253
,DLC-Oxford-Main-2,10.32.63.252
,,
Peterborough,DL-Peterborough,10.32.223.253
,DLC-Peterborough-Lnyxight,10.32.223.251
,,
Poole,DLC-Poole-Main-1,10.32.219.253
,DLC-Pool-Main-2,10.32.219.252
,DLC-Poole-Plantroom,10.32.219.251
,DLC-Poole-MainComms-SW3,10.32.219.250
,DLC-Poole-Spa,10.32.219.249
,,
Port Solent,DLC-PortSolent,10.32.53.253
,DLC-PortSolent-2,10.32.53.252
,,
Purley,DL-Purley,10.32.224.253
,DLC-Purley-Gym,10.32.224.252
,DLC-Purley-Lynxight,10.32.224.251
,,
,,
Raynes Park,DLL-RaynesPark-MainComms,10.32.11.253
,DLL-RaynesPark-GymX48,10.32.11.251
,DLC-RayesPark-Office,10.32.11.249
,DLC-RaynesPark-Spa,10.32.11.250
,DLC-Raynes-Lnyxight,10.32.11.252
,,
Reading,DLC-Reading,10.32.13.253
,,
Ringwood,DLC-Ringwood-SW2,10.32.18.253
,DLC-Ringwood-SW1,10.32.18.251
,DLL-Ringwood-Gym,10.32.18.250
,DLC-Ringwood-Lynxight,10.32.18.249
,,
Royal Berkshire,DL-RoyalBerkshire,10.32.220.253
,DL-RBC-48-2,10.32.220.252
,DL-RBC-24-GYM1,10.32.220.251
,DL-RBC-24-GYM2,10.32.220.250
,DLC-RoyalBerkshire-Lnyxight,10.32.220.249
,,
Rotterdam - Blijdorp,DLC-Blijdorp,10.2.6.253
,DLC-Blijdorp-Lynxight,10.2.6.252
,,
Rotterdam - Akragon,DLC-RotterdamCentrum,10.2.5.253
,DLC-RotterdamCentrum-Lynxight,10.2.5.252
,,
Sidcup,DLL-Sidcup,10.32.7.253
,DLC-Sidcup-MainComms-2,10.32.7.252
,DLC-Sidcup-Lynxight,10.32.7.251
,,
Solihull Cranmore,DLL-SolihullCranmore-MainComms,10.32.50.253
,DLC-SolihullCranmore-Lynxight,10.32.50.252
,,
Southampton,DLL-Southampton-Comms,10.32.43.253
,DLL-Southampton-X440-G2-24t,10.32.43.252
,DLL-Southampton-Comms-2,10.32.43.251
,DLC-Southampton-Plant,10.32.43.250
,,
Southampton West End,DLC-SWE-MainComms-SW3,10.32.221.253
,DLC-SWE-CabC-SW1,10.32.221.252
,DLC-SWE-MainComms-SW1,10.32.221.250
,DLC-SWE-CabD-SW1,10.32.221.249
Lyxnight Server here,DLC-SWE-MainComms-SW2,10.32.221.248
,DLC-SWE-CabB-SW1,10.32.221.247
MX Connected here,DLC-SWE-CabA-SW1,10.32.221.246
,,
Swansea,DL-Glamorgan,10.32.215.253
,DLC-Swansea-Lynxight,10.32.215.251
,,
Norwich,DLC-Norwich,10.32.218.253
,DLC-NorwichSubRack,10.32.218.252
,DLC-Norwich-Lnyxight,10.32.218.252
,,
Southend,DLC-Southend,10.32.68.253
,DLC-Southend-Lynxight,10.32.68.251
,DLC-Southend-Gym,10.32.68.250
,DLC-Southend-MainComms-2,10.32.68.249
,,
Speke,DLC-Speke,10.32.41.253
,DLC-Speke-Spa,192.168.200.252
,DLC-Speke-Lynxight,10.32.41.251
,,
Stevenage ,DLC-Stevenage,10.32.0.253
,DLC-Stevenage-Lynxitght,10.32.0.252
,,
Sudbury Hill,DLC-SudburyHill,10.32.47.253
,DLC-SudburyHill-MainComms-2,10.32.47.252
,DLC-SudburyHill-Lynxight,10.32.47.251
,DLC-SudburyHill-Spa,10.32.47.250
,,
Sunderland,DLC-Sunderland-MainComms,10.32.222.253
,DLC-Sunderland-Lynxight,10.32.222.252
,,
Swindon ,DLC-Swindon,10.32.70.253
,DLC-Swindon-Lynxight,10.32.70.252
,,
Teesside,DLC-Teeside,10.32.30.253
,DLC-Teeside-2,10.32.30.251
,DLC-Teeside-Lynxight,10.32.30.250
,,
,,
Warrington,DLC-Warrington,10.32.38.253
,DLC-Warrington-Lynxight,10.32.38.252
,DLC-Warrington-Gym,10.32.38.251
,,
West Bridgeford,DLC-WestBridgford-MainComms,10.32.49.252
,DLC-WestBridgford-Subrack,10.32.49.251
,DLC-WestBridgeford-Lynxight,10.32.49.249
,,
,,
Woking,DLC-Woking,10.32.60.253
,DLC-Woking-MainComms-2,10.32.60.252
,DLC-Woking-Lnyxight,10.32.60.251
,,
Worcester,DLL-Worcester-X440,10.32.202.253
,DLL-Worcester2,10.32.202.252
,DLC-Worcester-Lynxight,10.32.202.251
,,
Worthing,DLC-Worthing,10.32.64.253
,DLC-Worthing-Main-2,10.32.64.250
,DLC-Worthing-Gym,10.32.64.251
,DLC-Lynxight-Outdoor-8P,10.32.64.249
,,
York,DLC-York,192.168.9.253
,DLC-York-Gym,10.32.81.252
,DLC-York-MainComms-2,10.32.81.251
,DLC-York-Spa-SW1,10.32.81.250
,,
Bad Homborg,DLC-Bad-Homburg,10.32.229.253
,,
Hatfield,DLL-Hatfield-Temp,192.168.17.10
,DLL-Hatfield-Hotel,192.168.12.12
Gym Switch 2,DLC-Hatfield-ClubRecep-2,192.168.12.10
,HatfieldCoreStack,192.168.12.252
,DLC-Hatfield-Trident,10.32.83.246
,DLC-Hatfield-Reception-Temp,192.168.12.249
Gym Switch 1,DLC-Hatfield-ClubRecep-1,192.168.12.9
,HAT-ADMIN,192.168.12.11
,DLC-Hatfield-Lynxight,10.32.83.248
,DLC-Hatfield-Spa,10.36.83.247
,,
Bicester,DLC-Bicester-Main-X440-48p,10.32.232.253
,DLC-Bicester-2,10.32.232.252
,DLC-Bicester-SubRack-B,10.32.232.251
,DLC-Bicester-Lynxight,10.32.232.250
,,
Emersons Green,DLC-EmersonsGreen,10.32.230.253
,DLC-Emersons-2,10.32.230.252
,,
Rugby,DLC-Rugby-48-1,10.32.158.253
,DLC-Rugby-48-2,10.32.158.252
,DLC-Rugby-Subrack,10.32.158.251
,DLC-Rugby-Lynxight,10.32.158.250
,,
Shawfair ,DLC-Shawfair-Main,10.36.156.253
,DLC-Shawfair-48-2,10.36.156.252
,DLC-Shawfair-Subrack,10.36.156.251
,DLC-Shawfair-Lynxight,10.36.156.250
,,
Bury St Edmunds,DLC-Bury-St-Edmunds-48-1,10.32.164.253
,DLC-Bury-St-Edmunds-48-2,10.32.164.252
,DLC-Bury-St-Edmunds-Subrack,10.32.164.251
,DLC-Bury-St-Edmunds-HiImpact,10.32.164.250
,DLC-Bury-St-Edmunds-Lynxight,10.32.164.249
,,
Serrano,DLC-Serrano-Comms-48,10.32.163.253
,DLC-Serrano-Recp-8,10.32.163.252
,Serrano-Bar-8p,10.32.163.251
,DLC-TempOffice,10.32.163.246
,DLC-Serrano-HighImpact,10.32.163.250
,DLC-Serrano-7th-Floor,10.32.163.248
,DLC-Serrano-6th-Floor-48P,10.32.163.247
,,
La Finca,DLC-LaFina-Lower-Comms,10.32.162.253
,DLC-LaFinca-HO-Comms-24,10.32.162.252
,1st-Floor-Comm-Room-24p,10.32.162.251
,1st-Floor-Comm-Room,10.32.162.250
,DLC-LaFinca-Kids,10.32.162.249
,DLC-Lafica-Spa,10.32.162.248
,,
Gava Mar,DLC-Gava-Core,10.32.153.253
,DLC-Gava-Gym,10.32.153.252
,DLC-GavaMar-Reception,10.32.153.251
,DLC-Gava-TempOffice,10.32.153.250
,DLC-Gava-Spa,10.32.153.249
,,
Malaga,DLC-Malaga-48,10.32.155.253
,DLC-Malaga-2,10.32.155.252
,,
Zaragoza,DLC-Zaragoza,10.32.154.253
,DLC-Zaragoza-48,10.32.154.252
,,
Sterrebeek,DLC-Sterr-Comms24,10.32.160.253
,DLC-Sterrebeek-Comms-48,10.32.160.251
,DLC-Ster-TEMP,10.32.160.249
,,
Wickwoods,DLC-Wickwoods-ExtPlant,10.32.165.252
,DLC-Wickwoods-Accounts,10.32.165.251
,DLC-Wickwoods-Sales,10.32.165.250
,DLC-Wickwoods-Main-2,10.32.165.249
,DLC-Wickwoods-Electrical,10.32.165.248
,DLC-Wickwoods-Pilates,10.32.165.247
,DLC-Wickwoods-Gym,10.32.165.246
,DLC-Wickwoods-Main-1,10.32.165.245
,DLC-Wickwoods-Lnyxight,10.32.165.244
,,
Cricklewood,DLC-Cricklewood-Main,10.32.157.253
,DLC-Cricklewood-Main-2,10.32.157.252
,DLC-Cricklewood-1stPlant,10.32.157.251
,DLC-Cricklewood-Lynxight,10.32.157.250
,,
Modena,DLC-Modena-Main,10.32.159.253
,DLC-Modena-2nd,10.32.159.252
,DLC-Modena-Lynxight,10.32.159.251
,,
Enfield,DLL-Enfield-MainComms,10.32.3.253
,DLC-Enfield-BlazeOffice,10.32.3.252
,DLL-Enfield-SubRack,10.32.3.251
,DLC-Enfield-MainComms-2,10.32.3.250
,DLC-Enfield-Lynxight,10.32.3.249
,,
Boadilla,DLC-Boadilla-12P,10.32.161.253
,Boadilla-48P-1,10.32.161.252
,Boadilla-48P-2,10.32.161.251
,DLC-Boadilla-Spa,10.32.161.250
,DLC-PadelKiosk,10.32.161.249
,,
Geneva Country Club,Geneva-CC,10.32.243.253
,GCC-MainRack-2,10.32.243.252
,DLC-Geneva-Gym,10.32.243.251
,DLC-Geneva-CC-Lynxight,10.32.243.250
,,
Shrewsbury,DLC-Shrewsbury-Main,10.32.167.253
,DLC-Shrewsbury-Lnyxight,10.32.167.252
,DLC-Shrewsbury-Temp-1,10.32.167.251
,DLC-Shrewsbury-Gym,10.32.167.250
,DLC-Shrewsbury-Temp-3,10.32.167.249
,DLC-Shrewsbury-Spa,10.32.167.248
,DLC-Shrewsbury-Temp-5,10.32.167.247
,DLC-Shrewsbury-Wifi,10.32.167.246
,,
Harlow,DLC-Harlow-Core,10.32.170.253
,DLC-Harlow-Main-2,10.32.170.252
,DLC-Harlow-HiEnergy,10.32.170.251
,DLC-Harlow-Blaze,10.32.170.250
,DLC-Harlow-Audio,10.32.170.249
,DLC-Harlow-SportsHall,10.32.170.247
,,
Colliers Wood,DLC-Collierswood-MainComms-1,10.32.171.253
,DLL-Collierswood-Reception,10.32.171.252
,DLC-ColliersWood-MainComms-2,10.32.171.251
,DLC-ColliersWood-Subrack,10.32.171.250
,,
Herne Bay,DLC-HerneBay- Core - Router Uplinks,10.32.168.253
,DLC-HerneBay-MainComms,10.32.168.252
,DLC-HerneBay-HiEnergy,10.32.168.251
,DLC-HerneBay-Blaze,10.32.168.250
,DLC-HerneBay- Main Audio Rack,10.32.168.249
,DLC-HerneBay- ,10.32.168.248
,DLC-HerneBay- Sports Hall,10.32.168.247
